Id,Caseta,Clase,Camion_Tipo,Importe,Tarifa_Esperada,Diferencia
3830,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
3831,ZAPOTLANEJO,5,Camion_T5,216.0,422.0,-206.0
3831,ZAPOTLANEJO,5,Camion_T5,216.0,340.0,-124.0
3831,ZAPOTLANEJO,5,Camion_T5,216.0,458.0,-242.0
3831,ZAPOTLANEJO,5,Camion_T5,216.0,308.0,-92.0
3831,ZAPOTLANEJO,5,Camion_T5,216.0,209.0,7.0
3831,ZAPOTLANEJO,5,Camion_T5,216.0,181.0,35.0
3835,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
3861,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3864,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
3866,CONTEPEC,9,Camion_T9,217.0,275.0,-58.0
3887,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
3890,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
3891,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
3892,CHAPALA,9,Camion_T9,213.0,244.0,-31.0
3955,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
3957,PERIFERICO,5,Camion_T5,322.0,532.0,-210.0
3961,CONTEPEC,2,Camion_T2,275.0,141.0,134.0
3963,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
3984,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
4011,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4013,PALMILLAS,9,Camion_T9,641.0,54.0,587.0
4019,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
4041,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
4062,CHAPALA,9,Camion_T9,213.0,244.0,-31.0
4063,ZINAPECUARO,9,Camion_T9,55.0,567.0,-512.0
4063,ZINAPECUARO,9,Camion_T9,55.0,285.0,-230.0
4063,ZINAPECUARO,9,Camion_T9,55.0,282.0,-227.0
4063,ZINAPECUARO,9,Camion_T9,55.0,166.0,-111.0
4065,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
4066,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
4079,JOROBAS,5,Camion_T5,254.0,364.0,-110.0
4086,PALMILLAS BIS,9,Camion_T9,641.0,54.0,587.0
4091,CONTEPEC,9,Camion_T9,141.0,275.0,-134.0
4092,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
4107,PASO DEL TORO,5,Camion_T5,222.0,263.0,-41.0
4116,PALMILLAS BIS,5,Camion_T5,440.0,641.0,-201.0
4129,CUENCAME,5,Camion_T5,205.0,541.0,-336.0
4129,CUENCAME,5,Camion_T5,205.0,336.0,-131.0
4137,LEON,5,Camion_T5,107.0,411.0,-304.0
4137,LEON,5,Camion_T5,107.0,157.0,-50.0
4137,LEON,5,Camion_T5,107.0,131.0,-24.0
4147,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
4161,TEPOTZOTLAN,5,Camion_T5,471.0,678.0,-207.0
4185,LEON,5,Camion_T5,107.0,411.0,-304.0
4185,LEON,5,Camion_T5,107.0,157.0,-50.0
4185,LEON,5,Camion_T5,107.0,131.0,-24.0
4191,CONTEPEC,9,Camion_T9,141.0,275.0,-134.0
4197,LEON,5,Camion_T5,85.0,411.0,-326.0
4197,LEON,5,Camion_T5,85.0,157.0,-72.0
4197,LEON,5,Camion_T5,85.0,131.0,-46.0
4197,LEON,5,Camion_T5,85.0,107.0,-22.0
4197,LEON,5,Camion_T5,85.0,105.0,-20.0
4209,CHAPALA,5,Camion_T5,190.0,217.0,-27.0
4217,PALMILLAS,5,Camion_T5,440.0,641.0,-201.0
