Id,Caseta,Clase,Camion_Tipo,Importe
5469,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5473,LINCOLN,9,Camion_T9,1240.0
5474,CTO. EXT. MEXIQUENSE,1,Camion_T1,95.0
5476,CTO. EXT. MEXIQUENSE,1,Camion_T1,605.0
5477,CHICHIMECO,1,Camion_T1,241.0
5478,CTO. EXT. MEXIQUENSE,1,Camion_T1,259.0
5483,AMOZOC-PEROTE,1,Camion_T1,542.0
5484,APODACA,5,Camion_T5,191.0
5485,PALMILLAS,1,Camion_T1,108.0
5487,LIB. MATEHUALA,5,Camion_T5,132.0
5490,CTO. EXT. MEXIQUENSE,1,Camion_T1,364.0
5491,CTO. EXT. MEXIQUENSE,1,Camion_T1,65.0
5494,CTO. EXT. MEXIQUENSE,1,Camion_T1,87.0
5499,CTO. EXT. MEXIQUENSE,1,Camion_T1,65.0
5500,QUERETARO ARCO NORTE,9,Camion_T9,1610.0
5503,LIB. SUR PTE. QRO,5,Camion_T5,345.0
5507,CTO. EXT. MEXIQUENSE,1,Camion_T1,336.0
5508,CTO. EXT. MEXIQUENSE,1,Camion_T1,113.0
5509,SANCTORUM,6,Camion_T6,1086.0
5511,AMOZOC-PEROTE,1,Camion_T1,179.0
5513,CTO. EXT. MEXIQUENSE,1,Camion_T1,437.0
5516,PLAN DE RIO,1,Camion_T1,104.0
5517,ATLACOMULCO-BANOBRAS,9,Camion_T9,217.0
5518,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5519,AMOZOC-PEROTE,1,Camion_T1,241.0
5521,SIERVO DE LA NACIÓN,1,Camion_T1,55.0
5522,CTO. EXT. MEXIQUENSE,1,Camion_T1,95.0
5530,JUÁREZ,9,Camion_T9,520.0
5531,S.MARTIN PUE.,9,Camion_T9,334.0
5532,PLAN DE RIO,1,Camion_T1,221.0
5537,ENCARNACION DE DIAZ,5,Camion_T5,417.0
5538,AMOZOC-PEROTE,1,Camion_T1,179.0
5540,SAN MARTIN TEXMELUCAN,9,Camion_T9,2568.0
5541,APODACA,9,Camion_T9,874.0
5545,LA ANTIGUA,1,Camion_T1,125.0
5548,LIB. SUR DE GUAD.,7,Camion_T7,190.0
5552,ENCARNACION DE DIAZ,5,Camion_T5,417.0
5553,ARMERIA VIAPASS,1,Camion_T1,1047.0
5554,ARMERIA VIAPASS,1,Camion_T1,1047.0
5557,CHICHIMEQUILLAS,1,Camion_T1,62.0
5559,APODACA,5,Camion_T5,191.0
5562,ARMERIA VIAPASS,1,Camion_T1,803.0
5563,ARMERIA VIAPASS,1,Camion_T1,1002.0
5565,LA ANTIGUA,1,Camion_T1,300.0
5569,LA ANTIGUA,1,Camion_T1,300.0
5571,ARANDAS,1,Camion_T1,182.0
5574,SANCTORUM,5,Camion_T5,1086.0
5576,SAN MIGUEL COBI,9,Camion_T9,159.0
5578,CTO. EXT. MEXIQUENSE,1,Camion_T1,95.0
5579,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5580,YOSTIRO,1,Camion_T1,95.0
5581,OJO CALIENTE I,5,Camion_T5,129.0
5582,CTO. EXT. MEXIQUENSE,1,Camion_T1,311.0
5583,CALDERON,7,Camion_T7,382.0
5584,APODACA,5,Camion_T5,191.0
5585,LINCOLN,5,Camion_T5,516.0
5588,LIB. SUR PTE. QRO,9,Camion_T9,486.0
5590,CTO. EXT. MEXIQUENSE,1,Camion_T1,437.0
5594,CTO. EXT. MEXIQUENSE,1,Camion_T1,17.0
5596,LINCOLN,5,Camion_T5,516.0
5597,CTO. EXT. MEXIQUENSE,1,Camion_T1,95.0
5598,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5599,CTO. EXT. MEXIQUENSE,1,Camion_T1,336.0
5600,CTO. EXT. MEXIQUENSE,1,Camion_T1,160.0
5601,SANCTORUM,9,Camion_T9,482.0
5603,CTO. EXT. MEXIQUENSE,1,Camion_T1,160.0
5607,LIB. ARCO NT. SLP,5,Camion_T5,266.0
5608,CTO. EXT. MEXIQUENSE,1,Camion_T1,645.0
5609,CTO. EXT. MEXIQUENSE,1,Camion_T1,437.0
5610,CTO. EXT. MEXIQUENSE,1,Camion_T1,645.0
5613,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5615,AMOZOC-PEROTE,1,Camion_T1,382.0
5616,LINCOLN,5,Camion_T5,516.0
5617,CTO. EXT. MEXIQUENSE,1,Camion_T1,259.0
5620,TIZAYUCA EASYTRIP,1,Camion_T1,418.0
5621,TIZAYUCA EASYTRIP,1,Camion_T1,276.0
5624,CTO. EXT. MEXIQUENSE,1,Camion_T1,311.0
5625,AMOZOC-PEROTE,1,Camion_T1,232.0
5626,LIB. ARCO NT. SLP,5,Camion_T5,266.0
5632,ECATEPEC VIAPASS,1,Camion_T1,930.0
5633,CTO. EXT. MEXIQUENSE,1,Camion_T1,184.0
5635,PACHUCA,5,Camion_T5,360.0
5637,CHICHIMEQUILLAS,1,Camion_T1,62.0
5638,QUERETARO ARCO NORTE,5,Camion_T5,350.0
5640,PLAN DE RIO,1,Camion_T1,221.0
5641,CUAUTITLAN,5,Camion_T5,167.0
5642,LIB. SUR DE GUAD.,4,Camion_T4,113.0
5649,PACHUCA,9,Camion_T9,736.0
5650,PACHUCA,5,Camion_T5,508.0
5651,AMOZOC-PEROTE,1,Camion_T1,261.0
5654,TULANCINGO,9,Camion_T9,482.0
5659,LA ANTIGUA,1,Camion_T1,300.0
5661,CTO. EXT. MEXIQUENSE,1,Camion_T1,80.0
5663,CTO. EXT. MEXIQUENSE,1,Camion_T1,38.0
5664,ECATEPEC VIAPASS,1,Camion_T1,930.0
5666,CTO. EXT. MEXIQUENSE,1,Camion_T1,645.0
5668,ATLACOMULCO-BANOBRAS,9,Camion_T9,217.0
5670,CTO. EXT. MEXIQUENSE,1,Camion_T1,259.0
5672,CTO. EXT. MEXIQUENSE,1,Camion_T1,236.0
5676,LA HINCADA,5,Camion_T5,303.0
5678,ATLACOMULCO-LIB QRO,5,Camion_T5,636.0
5679,REVOLUCION EASYTRIP,1,Camion_T1,78.0
5680,LA LAJA,5,Camion_T5,78.0
5682,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5683,CTO. EXT. MEXIQUENSE,1,Camion_T1,160.0
5687,PALMILLAS,1,Camion_T1,108.0
5688,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5689,CTO. EXT. MEXIQUENSE,1,Camion_T1,364.0
5690,ARMERIA VIAPASS,1,Camion_T1,590.0
5691,CTO. EXT. MEXIQUENSE,1,Camion_T1,136.0
5692,CERRITOS OPASA,5,Camion_T5,137.0
5693,LIB. SUR DE GUAD.,5,Camion_T5,175.0
5694,ATLACOMULCO-BANOBRAS,9,Camion_T9,275.0
5698,LIB. MATEHUALA,5,Camion_T5,132.0
5699,PLAN DE RIO,1,Camion_T1,221.0
5701,CTO. EXT. MEXIQUENSE,1,Camion_T1,311.0
5703,ANE EASYTRIP,1,Camion_T1,202.0
5704,ENCARNACION DE DIAZ,5,Camion_T5,417.0
5712,LIB. MATEHUALA,5,Camion_T5,132.0
5715,ECATEPEC VIAPASS,1,Camion_T1,514.0
