Via,Nombre,Camion_T2,Camion_T3,Camion_T4,Camion_T5,Camion_T6,Camion_T7,Camion_T8,Camion_T9
LIBRAMIENTO ORIENTE DE CHIHUAHUA,JIMENEZ,74.00,74.00,74.00,123.00,123.00,149.00,149.00,149.00
MONTERREY-SALTILLO Y LIBRAMIENTO,TORREÓN,149.00,149.00,149.00,265.00,265.00,275.00,275.00,275.00
MONTERREY-SALTILLO Y LIBRAMIENTO,TORREÓN,102.00,102.00,102.00,181.00,181.00,186.00,186.00,186.00
MONTERREY-SALTILLO Y LIBRAMIENTO,TORREÓN,47.00,47.00,47.00,84.00,84.00,89.00,89.00,89.00
MONTERREY-SALTILLO Y LIBRAMIENTO,OJO CALIENTE,118.00,118.00,118.00,221.00,221.00,230.00,230.00,230.00
MONTERREY-SALTILLO Y LIBRAMIENTO,OJO CALIENTE,67.00,67.00,67.00,129.00,129.00,133.00,133.00,133.00
MONTERREY-SALTILLO Y LIBRAMIENTO,OJO CALIENTE,51.00,51.00,51.00,92.00,92.00,97.00,97.00,97.00
MONTERREY-SALTILLO Y LIBRAMIENTO,PERIFERICO,294.00,294.00,294.00,532.00,532.00,555.00,555.00,555.00
MONTERREY-SALTILLO Y LIBRAMIENTO,PERIFERICO,178.00,178.00,178.00,322.00,322.00,335.00,335.00,335.00
MONTERREY-SALTILLO Y LIBRAMIENTO NOR,APLETRIILFLEORICO,116.00,116.00,116.00,210.00,210.00,220.00,220.00,220.00
LIBRAMIENTO ORIENTE DE SALTILLO,LA CARBONERA,-,-,-,-,-,-,-,-
LA CARBONERA-PUERTO MEXICO,LOS CHORROS,179.00,179.00,179.00,279.00,279.00,347.00,347.00,347.00
,NOMBRE,T2,T3,T4,T5,T6,T7,T8,T9
LA CARBONERA-PUERTO MEXICO,HUACHICHIL,162.00,162.00,162.00,219.00,219.00,276.00,276.00,276.00
LIBRAMIENTO MATEHUALA,LIBRAMIENTO MATEHUALA,70.00,70.00,70.00,132.00,132.00,195.00,195.00,195.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YLINCOLN,236.00,236.00,236.00,573.00,573.00,1377.00,1377.00,1377.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YLINCOLN,150.00,150.00,150.00,350.00,350.00,835.00,835.00,835.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YLINCOLN,101.00,101.00,101.00,229.00,229.00,539.00,539.00,539.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YLINCOLN,72.00,72.00,72.00,169.00,169.00,396.00,396.00,396.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YLINCOLN,45.00,45.00,45.00,108.00,108.00,256.00,256.00,256.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YAPODACA,218.00,218.00,218.00,535.00,535.00,971.00,971.00,971.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YAPODACA,134.00,134.00,134.00,331.00,331.00,583.00,583.00,583.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YAPODACA,90.00,90.00,90.00,212.00,212.00,386.00,386.00,386.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YJUÁREZ,201.00,201.00,201.00,496.00,496.00,1040.00,1040.00,1040.00
PERIFÉRICO DEL ÁREA METROPOLITANA DE,YJUÁREZ,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00
MONTERREY-CADEREYTA,CADEREYTA,159.00,159.00,159.00,307.00,307.00,382.00,457.00,526.00
MONTERREY-CADEREYTA,GUADALUPE,162.00,162.00,162.00,310.00,310.00,388.00,464.00,538.00
MONTERREY-CADEREYTA,GUADALUPE,119.00,119.00,119.00,235.00,235.00,287.00,342.00,400.00
PUENTE CADEREYTA,CADEREYTA,20.00,20.00,28.00,28.00,37.00,37.00,37.00,37.00
AGUJITA-ALLENDE,AGUJITA-ALLENDE,230.00,230.00,230.00,325.00,325.00,360.00,360.00,360.00
PUENTE ACUÑA,ACUÑA,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
MONTERREY-NUEVO LAREDO,SABINAS,440.00,440.00,440.00,600.00,600.00,689.00,689.00,689.00
MONTERREY-NUEVO LAREDO,AGUALEGUAS,179.00,179.00,179.00,223.00,223.00,256.00,256.00,256.00
MONTERREY-NUEVO LAREDO,PARÁS,244.00,244.00,244.00,328.00,328.00,374.00,374.00,374.00
MONTERREY-NUEVO LAREDO,PARÁS,199.00,199.00,199.00,276.00,276.00,314.00,314.00,314.00
MONTERREY-NUEV LAREDO (LA GLORIA-SAN,N)UEVO LAREDO PINFRA,181.00,181.00,181.00,245.00,245.00,279.00,279.00,279.00
CADEREYTA-REYNOSA,GENERAL BRAVO,427.00,427.00,427.00,639.00,639.00,708.00,708.00,708.00
CADEREYTA-REYNOSA,GENERAL BRAVO,198.00,198.00,198.00,301.00,301.00,314.00,314.00,314.00
CADEREYTA-REYNOSA,LOS HERRERA,250.00,250.00,250.00,381.00,381.00,405.00,405.00,405.00
CADEREYTA-REYNOSA,LOS HERRERA,178.00,178.00,178.00,256.00,256.00,307.00,307.00,307.00
CADEREYTA-REYNOSA,LOS RAMONES,318.00,318.00,318.00,495.00,495.00,530.00,530.00,530.00
CADEREYTA-REYNOSA,LOS RAMONES,115.00,115.00,115.00,145.00,145.00,179.00,179.00,179.00
CADEREYTA-REYNOSA,DR. COSS,232.00,232.00,232.00,339.00,339.00,394.00,394.00,394.00
LIBRAMIENTO SUR II DE REYNOSA,LUCIO BLANCO,74.00,74.00,74.00,112.00,112.00,115.00,115.00,115.00
LIBRAMIENTO SUR II DE REYNOSA,SAN FERNANDO,41.00,41.00,41.00,64.00,64.00,68.00,68.00,68.00
PTE. INTERNACIONAL NUEVO AMANECER (RE,ARRERY)NOSA PHAR,95.00,95.00,95.00,196.00,196.00,312.00,312.00,312.00
PUENTE INTERNACIONAL LOS TOMATES,"IGNACIO ZARAGOZA ""LOS TOMATES""",95.00,95.00,95.00,196.00,196.00,312.00,312.00,312.00
REYNOSA-MATAMOROS,NVO PROGRESO,181.00,181.00,181.00,267.00,267.00,348.00,348.00,348.00
REYNOSA-MATAMOROS,NVO PROGRESO,90.00,90.00,90.00,136.00,136.00,172.00,172.00,172.00
PUENTE JUAREZ LINCOLN,JUAREZ-LINCOLN,70.00,140.00,140.00,233.00,233.00,233.00,233.00,16.00
PUENTE MIGUEL ALEMAN,MIGUEL ALEMAN,65.00,65.00,65.00,65.00,65.00,65.00,65.00,16.00
PUENTE SAN JUAN,SAN JUAN,33.00,33.00,53.00,53.00,75.00,75.00,75.00,75.00
PUENTE CAMARGO,CAMARGO,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
PUENTE REYNOSA,REYNOSA,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
PUENTE LAS FLORES,LAS FLORES,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
PUENTE INTERNACIONAL OJINAGA,OJINAGA,58.00,58.00,58.00,58.00,58.00,58.00,58.00,58.00
PUENTE MATAMOROS,MATAMOROS,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
PUENTE PIEDRAS NEGRAS,PIEDRAS NEGRAS,65.00,65.00,65.00,65.00,65.00,65.00,65.00,65.00
LIBRAMIENTO MEXICALI,LIBRAMIENTO DE MEXICALI,199.00,199.00,199.00,287.00,287.00,338.00,338.00,338.00
LIBRAMIENTO MEXICALI,LIBRAMIENTO DE MEXICALI,57.00,57.00,57.00,88.00,88.00,96.00,96.00,96.00
LA RUMOROSA-TECATE,EL HONGO,101.00,101.00,166.00,166.00,234.00,234.00,234.00,234.00
LA RUMOROSA-TECATE,EL HONGO,184.00,184.00,330.00,330.00,476.00,476.00,476.00,476.00
TIJUANA-ENSENADA,TIJUANA,100.00,100.00,120.00,120.00,139.00,139.00,139.00,139.00
TIJUANA-ENSENADA,ROSARITO,100.00,100.00,120.00,120.00,139.00,139.00,139.00,139.00
TIJUANA-ENSENADA,NODO POPOTLA,86.00,86.00,103.00,103.00,119.00,119.00,119.00,119.00
