Via,Nombre,Camion_T2,Camion_T3,Camion_T4,Camion_T5,Camion_T6,Camion_T7,Camion_T8,Camion_T9
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE A-4 PACHUCA,18.00,18.00,18.00,31.00,31.00,46.00,46.00,46.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE A-21 - A-22 B. XOCHIAC,76.00,76.00,76.00,129.00,129.00,190.00,190.00,190.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE T-7 - TEXCOCO,113.00,113.00,113.00,190.00,190.00,281.00,281.00,281.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE A-27 SAN BUENA VENT,248.00,248.00,248.00,419.00,419.00,617.00,617.00,617.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE A-28 SAN BUENA VENT,27.00,27.00,27.00,46.00,46.00,68.00,68.00,68.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE A-31 - A-32 ENT. TULTE,215.00,215.00,215.00,364.00,364.00,536.00,536.00,536.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE A-34 - A-36 V. MEXIQUE,57.00,57.00,57.00,95.00,95.00,141.00,141.00,141.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE A-33 Y A-35 (AUXILIAR,38.00,38.00,38.00,65.00,65.00,95.00,95.00,95.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE T-5 TULTITLÁN,95.00,95.00,95.00,160.00,160.00,236.00,236.00,236.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE T6 CUAUTITLÁN-(SAN,68.00,68.00,68.00,115.00,115.00,170.00,170.00,170.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE AIFA T-5 D.S.I.,220.00,220.00,220.00,371.00,371.00,547.00,547.00,547.00
CIRCUITO EXTERIOR MEXIQUENSE,CTO. EXT. MEXIQUENSE AIFA A-35 D.S.I.,163.00,163.00,163.00,276.00,276.00,407.00,407.00,407.00
MÉXICO-PACHUCA,ECATEPEC (SAN CRISTOBAL),47.00,47.00,97.00,97.00,133.00,133.00,133.00,133.00
MÉXICO-PACHUCA,REVOLUCIÓN,60.00,60.00,125.00,125.00,166.00,166.00,166.00,166.00
MÉXICO-PACHUCA,REVOLUCIÓN,78.00,78.00,143.00,156.00,197.00,212.00,212.00,212.00
MÉXICO-PACHUCA,TIZAYUCA (OJO DE AGUA),137.00,137.00,276.00,276.00,418.00,418.00,418.00,418.00
MÉXICO-PACHUCA,ENTRONQUE OJO DE AGUA,80.00,80.00,165.00,165.00,249.00,249.00,249.00,249.00
ECATEPEC-PIRÁMIDES,ECATEPEC VIAPASS,210.00,308.00,415.00,514.00,624.00,724.00,828.00,930.00
ECATEPEC-PIRÁMIDES,TEPEXPAN VIAPASS,77.00,118.00,152.00,194.00,231.00,268.00,308.00,349.00
